Results Table 1
,Specimen label,Width,Thickness,Length,Tensile strain (Displacement) at Break (Standard),Maximum Tensile stress
,,(mm),(mm),(mm),(%),(MPa)
"1","Aluminum 2024-1","10.46","1.63","75.67","19.55","469.89"
"2","Aluminum 2024-2_1","10.29","1.55","61.52","9.92","466.68"
"3","Aluminum 2024-2_2","10.01","1.52","65.33","7.14","511.47"
"4","Aluminum 2024-2_3","9.70","1.30","67.84","10.98","633.19"

1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","41.8449"
"","0.1000","0.0035","44.1320"
"","0.2000","0.0167","44.3655"
"","0.3000","0.0465","44.3756"
"","0.4000","0.0665","44.7819"
"","0.5000","0.0880","44.8912"
"","0.6000","0.1096","44.7739"
"","0.7000","0.1300","45.2586"
"","0.8000","0.1517","57.6345"
"","0.9000","0.1719","138.5266"
"","1.0000","0.1940","293.6732"
"","1.1000","0.2150","463.7945"
"","1.2000","0.2358","632.8143"
"","1.3000","0.2572","779.5758"
"","1.4000","0.2778","908.6455"
"","1.5000","0.3001","1061.8811"
"","1.6000","0.3203","1194.6865"
"","1.7000","0.3420","1333.1198"
"","1.8000","0.3626","1459.8704"
"","1.9000","0.3843","1598.1938"
"","2.0000","0.4057","1731.3463"
"","2.1000","0.4264","1860.0909"
"","2.2000","0.4475","1989.2317"
"","2.3000","0.4683","2116.3296"
"","2.4000","0.4904","2251.0569"
"","2.5000","0.5108","2370.8169"
"","2.6000","0.5321","2499.3389"
"","2.7000","0.5532","2624.2666"
"","2.8000","0.5746","2752.0271"
"","2.9000","0.5963","2878.5139"
"","3.0000","0.6166","2996.2795"
"","3.1000","0.6383","3122.7571"
"","3.2000","0.6589","3241.2239"
"","3.3000","0.6810","3369.6548"
"","3.4000","0.7016","3484.3025"
"","3.5000","0.7229","3607.4031"
"","3.6000","0.7438","3724.2249"
"","3.7000","0.7648","3842.5945"
"","3.8000","0.7867","3964.1633"
"","3.9000","0.8070","4074.2148"
"","4.0000","0.8287","4193.5259"
