Results Table 1
,Specimen label,Width,Thickness,Length,Tensile strain (Displacement) at Break (Standard),Maximum Tensile stress
,,(mm),(mm),(mm),(%),(MPa)
"1","Aa6061-1","12.90","1.57","63.37","19.95","324.43"
"2","Aa6061-2_1","12.75","1.57","64.01","7.85","308.10"
"3","Aa6061-2_2","12.57","1.55","67.23","5.98","329.27"
"4","Aa6061-2_3","12.40","1.50","70.08","9.22","351.97"

1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","45.1803"
"","0.1000","0.0044","53.9835"
"","0.2000","0.0182","83.6953"
"","0.3000","0.0479","284.7020"
"","0.4000","0.0683","429.4221"
"","0.5000","0.0888","576.7107"
"","0.6000","0.1111","738.6375"
"","0.7000","0.1314","900.3177"
"","0.8000","0.1528","1090.7120"
"","0.9000","0.1738","1280.9901"
"","1.0000","0.1948","1474.0070"
"","1.1000","0.2166","1671.5790"
"","1.2000","0.2371","1846.1594"
"","1.3000","0.2587","2015.6860"
"","1.4000","0.2792","2172.6213"
"","1.5000","0.3012","2347.9038"
"","1.6000","0.3222","2511.7642"
"","1.7000","0.3433","2679.3193"
"","1.8000","0.3642","2841.8967"
"","1.9000","0.3852","3006.1782"
"","2.0000","0.4073","3178.4431"
"","2.1000","0.4273","3329.5129"
"","2.2000","0.4492","3497.7651"
"","2.3000","0.4697","3650.2573"
"","2.4000","0.4913","3813.2451"
"","2.5000","0.5127","3969.7952"
"","2.6000","0.5336","4120.0361"
"","2.7000","0.5546","4268.2153"
"","2.8000","0.5757","4411.3906"
"","2.9000","0.5977","4554.2466"
"","3.0000","0.6181","4673.5552"
"","3.1000","0.6398","4793.5635"
"","3.2000","0.6605","4893.8101"
"","3.3000","0.6820","4989.8994"
"","3.4000","0.7034","5069.5327"
"","3.5000","0.7238","5139.1592"
"","3.6000","0.7454","5199.6455"
"","3.7000","0.7660","5250.8408"
"","3.8000","0.7880","5298.6304"
"","3.9000","0.8085","5333.3198"
"","4.0000","0.8301","5371.4678"
"","4.1000","0.8509","5397.7671"
"","4.2000","0.8724","5427.2842"
"","4.3000","0.8942","5447.9243"
"","4.4000","0.9144","5466.8022"
"","4.5000","0.9362","5485.2192"
"","4.6000","0.9564","5498.4292"
"","4.7000","0.9786","5516.6982"
"","4.8000","0.9996","5523.7749"
"","4.9000","1.0204","5539.5762"
"","5.0000","1.0415","5546.9160"
"","5.1000","1.0625","5559.6274"
"","5.2000","1.0846","5568.5854"
"","5.3000","1.1048","5573.6089"
"","5.4000","1.1266","5584.3276"
"","5.5000","1.1471","5589.1411"
"","5.6000","1.1689","5599.2622"
"","5.7000","1.1902","5601.1689"
"","5.8000","1.2110","5610.9248"
"","5.9000","1.2323","5615.4224"
"","6.0000","1.2533","5622.1509"
"","6.1000","1.2751","5629.3018"
"","6.2000","1.2955","5630.0400"
"","6.3000","1.3170","5640.6284"
"","6.4000","1.3376","5641.2080"
"","6.5000","1.3592","5650.5410"
"","6.6000","1.3805","5651.2856"
"","6.7000","1.4011","5658.3462"
"","6.8000","1.4229","5663.3364"
"","6.9000","1.4434","5667.0923"
"","7.0000","1.4656","5675.6006"
"","7.1000","1.4862","5674.4331"
"","7.2000","1.5075","5684.8638"
"","7.3000","1.5285","5684.2393"
"","7.4000","1.5494","5692.4951"
"","7.5000","1.5713","5695.7251"
"","7.6000","1.5916","5698.9590"
"","7.7000","1.6134","5705.8428"
