Results Table 1
,Specimen label,Width,Thickness,Length,Tensile strain (Displacement) at Break (Standard),Maximum Tensile stress
,,(mm),(mm),(mm),(%),(MPa)
"1","Brass 1","12.80","3.20","69.34","40.87","383.43"
"2","Brass 2_1","12.70","3.12","69.34","12.33","370.70"
"3","Brass 2_2","12.27","3.05","77.88","13.02","410.88"
"4","Brass 2_3","11.68","3.05","84.58","17.72","438.80"

1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","97.7163"
"","0.1000","0.0035","111.5954"
"","0.2000","0.0159","133.3081"
"","0.3000","0.0465","185.2380"
"","0.4000","0.0668","399.7439"
"","0.4640","0.0800","653.5379"
"","0.5230","0.0922","906.4387"
"","0.5760","0.1041","1157.8120"
"","0.6300","0.1158","1410.1808"
"","0.6890","0.1278","1664.1523"
"","0.7480","0.1398","1916.5544"
"","0.8040","0.1521","2170.1267"
"","0.8810","0.1685","2421.0884"
"","0.9690","0.1865","2671.3401"
"","1.0450","0.2033","2922.0771"
"","1.1270","0.2207","3173.4407"
"","1.2110","0.2379","3424.1960"
"","1.2890","0.2549","3675.9353"
"","1.3770","0.2729","3927.5027"
"","1.4600","0.2906","4179.3750"
"","1.5420","0.3088","4429.6392"
"","1.6350","0.3278","4679.9980"
"","1.7210","0.3464","4930.3750"
"","1.8180","0.3663","5182.8306"
"","1.9090","0.3856","5435.0889"
"","1.9990","0.4056","5687.3018"
"","2.0990","0.4257","5928.5752"
"","2.1900","0.4456","6179.5337"
"","2.2900","0.4661","6419.4897"
"","2.3870","0.4868","6669.9326"
"","2.4870","0.5085","6921.6729"
"","2.5870","0.5292","7158.5635"
"","2.6870","0.5505","7402.8677"
"","2.7870","0.5713","7638.7876"
"","2.8870","0.5934","7889.7773"
"","2.9870","0.6140","8107.7183"
"","3.0870","0.6354","8345.6895"
"","3.1870","0.6565","8565.0752"
"","3.2870","0.6775","8786.8623"
"","3.3870","0.6993","9008.4062"
"","3.4870","0.7194","9205.4668"
"","3.5870","0.7413","9423.6113"
"","3.6870","0.7618","9614.5215"
"","3.7870","0.7835","9821.2666"
"","3.8870","0.8044","10003.5410"
"","3.9870","0.8257","10194.9590"
"","4.0870","0.8468","10369.0107"
"","4.1870","0.8678","10542.0312"
"","4.2870","0.8898","10714.5908"
"","4.3870","0.9101","10859.7783"
"","4.4870","0.9321","11020.2861"
"","4.5870","0.9523","11148.2871"
"","4.6870","0.9741","11292.0273"
"","4.7870","0.9956","11412.2451"
"","4.8870","1.0160","11530.4014"
"","4.9870","1.0374","11640.2637"
"","5.0870","1.0581","11743.9199"
"","5.1870","1.0802","11849.5967"
"","5.2870","1.1006","11933.4365"
"","5.3870","1.1223","12028.0605"
"","5.4870","1.1429","12103.1738"
"","5.5870","1.1644","12186.1514"
"","5.6870","1.1863","12254.6680"
"","5.7870","1.2067","12321.2979"
"","5.8870","1.2281","12382.2148"
"","5.9870","1.2490","12439.8955"
"","6.0870","1.2707","12496.6904"
"","6.1870","1.2915","12540.2959"
"","6.2870","1.3126","12594.6309"
"","6.3870","1.3336","12631.0732"
"","6.4870","1.3547","12678.4268"
"","6.5870","1.3765","12712.7842"
"","6.6870","1.3967","12751.8057"
"","6.7870","1.4187","12787.3584"
"","6.8870","1.4392","12817.5332"
"","6.9870","1.4611","12854.5254"
"","7.0870","1.4822","12874.9463"
"","7.1870","1.5031","12911.8281"
"","7.2870","1.5244","12930.1982"
"","7.3870","1.5450","12960.4209"
"","7.4870","1.5671","12983.4053"
"","7.5870","1.5874","13003.0811"
"","7.6870","1.6092","13029.0508"
"","7.7870","1.6296","13047.4385"
"","7.8870","1.6513","13073.0137"
"","7.9870","1.6728","13084.3047"
"","8.0870","1.6934","13111.7881"
"","8.1870","1.7149","13121.7842"
"","8.2870","1.7354","13143.8975"
"","8.3870","1.7578","13162.7695"
"","8.4870","1.7783","13171.2871"
"","8.5870","1.7996","13195.2764"
"","8.6870","1.8204","13205.5537"
"","8.7870","1.8418","13226.6777"
"","8.8870","1.8634","13233.3379"
"","8.9870","1.8838","13252.6084"
"","9.0870","1.9054","13261.1592"
"","9.1870","1.9260","13276.8672"
"","9.2870","1.9481","13293.5469"
"","9.3870","1.9688","13296.6865"
"","9.4870","1.9900","13320.5537"
"","9.5870","2.0110","13324.1758"
"","9.6870","2.0322","13342.9902"
"","9.7870","2.0542","13349.1475"
"","9.8870","2.0741","13359.7676"
"","9.9870","2.0960","13373.3750"
"","10.0870","2.1165","13380.8672"
"","10.1870","2.1384","13397.4385"
"","10.2870","2.1590","13395.1533"
"","10.3870","2.1802","13420.9443"
"","10.4870","2.2015","13419.1543"
"","10.5870","2.2224","13436.0400"
"","10.6870","2.2447","13444.0186"
"","10.7870","2.2648","13449.5049"
"","10.8870","2.2866","13464.0889"
"","10.9870","2.3073","13468.2637"
"","11.0870","2.3287","13484.2764"
"","11.1870","2.3503","13484.0459"
"","11.2870","2.3709","13501.1895"
"","11.3870","2.3923","13503.3828"
"","11.4870","2.4129","13515.1055"
"","11.5870","2.4351","13525.1660"
"","11.6870","2.4554","13525.3076"
"","11.7870","2.4771","13541.9531"
"","11.8870","2.4976","13542.9863"
"","11.9870","2.5189","13559.1924"
"","12.0870","2.5409","13558.9834"
"","12.1870","2.5611","13571.2314"
"","12.2870","2.5829","13574.4219"
"","12.3870","2.6034","13584.9775"
"","12.4870","2.6256","13593.4424"
"","12.5870","2.6461","13595.2803"
"","12.6870","2.6674","13610.9297"
"","12.7870","2.6883","13610.3330"
"","12.8870","2.7092","13624.7783"
"","12.9870","2.7313","13623.6592"
"","13.0870","2.7511","13630.5068"
"","13.1870","2.7733","13639.5586"
"","13.2870","2.7938","13646.3867"
"","13.3870","2.8157","13658.3584"
"","13.4870","2.8369","13655.4453"
"","13.5870","2.8577","13673.1074"
"","13.6870","2.8789","13669.5967"
"","13.7870","2.8997","13680.8086"
"","13.8870","2.9220","13685.9951"
"","13.9870","2.9421","13686.8555"
"","14.0870","2.9640","13699.8047"
"","14.1870","2.9845","13700.9580"
"","14.2870","3.0061","13716.1289"
"","14.3870","3.0276","13712.3438"
"","14.4870","3.0480","13726.8711"
"","14.5870","3.0696","13725.2598"
"","14.6870","3.0901","13733.5566"
"","14.7870","3.1123","13741.8506"
"","14.8870","3.1328","13738.9824"
"","14.9870","3.1544","13753.8076"
"","15.0870","3.1749","13754.0312"
"","15.1870","3.1965","13767.1455"
"","15.2870","3.2183","13764.3740"
"","15.3870","3.2384","13775.1680"
"","15.4870","3.2601","13775.8623"
"","15.5870","3.2804","13784.6816"
"","15.6870","3.3028","13791.2168"
"","15.7870","3.3235","13788.3623"
"","15.8870","3.3447","13804.5039"
"","15.9870","3.3657","13801.8701"
"","16.0870","3.3868","13814.4346"
"","16.1870","3.4088","13814.9033"
"","16.2870","3.4289","13820.3789"
"","16.3870","3.4504","13825.9258"
"","16.4870","3.4712","13829.5244"
"","16.5870","3.4930","13839.5225"
"","16.6870","3.5143","13835.1475"
"","16.7870","3.5346","13851.6846"
"","16.8870","3.5565","13848.8428"
"","16.9870","3.5771","13857.3691"
"","17.0870","3.5992","13862.6162"
"","17.1870","3.6194","13861.0381"
"","17.2870","3.6413","13872.5625"
"","17.3870","3.6620","13874.3652"
"","17.4870","3.6833","13884.3359"
"","17.5870","3.7049","13880.1426"
"","17.6870","3.7253","13894.0127"
"","17.7870","3.7469","13890.8770"
"","17.8870","3.7675","13900.2158"
"","17.9870","3.7897","13905.3643"
"","18.0870","3.8101","13903.6660"
"","18.1870","3.8317","13917.9473"
"","18.2870","3.8524","13914.0576"
"","18.3870","3.8737","13928.0293"
"","18.4870","3.8955","13922.7822"
"","18.5870","3.9157","13933.2021"
"","18.6870","3.9375","13934.1045"
"","18.7870","3.9578","13940.2480"
"","18.8870","3.9803","13948.4365"
"","18.9870","4.0007","13942.4209"
"","19.0870","4.0221","13960.1963"
"","19.1870","4.0428","13953.9629"
"","19.2870","4.0639","13966.3594"
"","19.3870","4.0862","13967.1895"
"","19.4870","4.1063","13968.3945"
"","19.5870","4.1279","13976.0898"
"","19.6870","4.1485","13979.0283"
"","19.7870","4.1704","13987.8301"
"","19.8870","4.1915","13983.4824"
"","19.9870","4.2124","13998.7363"
"","20.0870","4.2336","13993.9580"
"","20.1870","4.2544","14005.0156"
"","20.2870","4.2766","14006.0264"
"","20.3870","4.2967","14005.1367"
"","20.4870","4.3185","14016.2227"
"","20.5870","4.3392","14014.6689"
"","20.6870","4.3607","14026.4873"
"","20.7870","4.3823","14022.5273"
"","20.8870","4.4028","14034.7305"
"","20.9870","4.4243","14033.1895"
"","21.0870","4.4450","14039.5938"
"","21.1870","4.4670","14044.3057"
"","21.2870","4.4875","14041.9453"
"","21.3870","4.5089","14053.6934"
"","21.4870","4.5295","14051.3506"
"","21.5870","4.5509","14063.4697"
"","21.6870","4.5730","14061.4082"
"","21.7870","4.5930","14066.8926"
"","21.8870","4.6147","14072.2285"
"","21.9870","4.6352","14072.3867"
"","22.0870","4.6573","14083.0879"
"","22.1870","4.6782","14075.5605"
"","22.2870","4.6992","14092.0801"
"","22.3870","4.7205","14087.6055"
"","22.4870","4.7414","14098.9531"
"","22.5870","4.7637","14098.5967"
"","22.6870","4.7837","14099.9199"
"","22.7870","4.8052","14105.0879"
"","22.8870","4.8258","14109.7812"
"","22.9870","4.8476","14117.8818"
"","23.0870","4.8689","14111.4932"
"","23.1870","4.8894","14124.0850"
"","23.2870","4.9109","14125.6631"
"","23.3870","4.9318","14130.1055"
"","23.4870","4.9540","14134.9229"
"","23.5870","4.9743","14133.5605"
"","23.6870","4.9959","14142.9111"
"","23.7870","5.0166","14142.6924"
"","23.8870","5.0382","14152.0293"
"","23.9870","5.0596","14148.3486"
"","24.0870","5.0800","14158.7471"
"","24.1870","5.1016","14157.5498"
"","24.2870","5.1220","14162.5078"
"","24.3870","5.1442","14168.7695"
"","24.4870","5.1648","14164.5312"
"","24.5870","5.1862","14177.0049"
"","24.6870","5.2071","14176.0381"
"","24.7870","5.2282","14186.4170"
"","24.8870","5.2504","14184.4453"
"","24.9870","5.2703","14188.4072"
"","25.0870","5.2922","14191.5996"
"","25.1870","5.3126","14193.7900"
"","25.2870","5.3347","14203.8838"
"","25.3870","5.3558","14194.5703"
"","25.4870","5.3766","14212.6416"
"","25.5870","5.3977","14206.6064"
"","25.6870","5.4187","14218.8955"
"","25.7870","5.4408","14219.0117"
"","25.8870","5.4609","14219.4707"
"","25.9870","5.4825","14224.9346"
"","26.0870","5.5031","14226.6260"
"","26.1870","5.5250","14235.3867"
"","26.2870","5.5464","14228.2441"
"","26.3870","5.5671","14243.8174"
"","26.4870","5.5884","14239.6826"
"","26.5870","5.6091","14249.4160"
"","26.6870","5.6314","14252.0088"
"","26.7870","5.6514","14248.4014"
"","26.8870","5.6730","14257.7246"
"","26.9870","5.6937","14256.8145"
"","27.0870","5.7152","14266.0244"
"","27.1870","5.7368","14262.5811"
"","27.2870","5.7572","14274.8994"
"","27.3870","5.7790","14272.5273"
"","27.4870","5.7996","14279.4062"
"","27.5870","5.8216","14283.6240"
"","27.6870","5.8422","14279.0898"
"","27.7870","5.8637","14290.6006"
"","27.8870","5.8845","14286.4990"
"","27.9870","5.9056","14298.8193"
"","28.0870","5.9276","14295.2842"
"","28.1870","5.9478","14300.7012"
"","28.2870","5.9695","14304.7842"
"","28.3870","5.9901","14307.7607"
"","28.4870","6.0118","14316.0166"
"","28.5870","6.0329","14307.5879"
"","28.6870","6.0540","14323.0557"
"","28.7870","6.0750","14317.0830"
"","28.8870","6.0959","14327.5146"
"","28.9870","6.1183","14328.1357"
"","29.0870","6.1384","14327.1787"
"","29.1870","6.1602","14336.4814"
"","29.2870","6.1804","14335.3779"
"","29.3870","6.2023","14346.7422"
"","29.4870","6.2235","14338.2539"
"","29.5870","6.2442","14352.3945"
"","29.6870","6.2652","14346.9307"
"","29.7870","6.2864","14356.8535"
"","29.8870","6.3085","14358.8711"
"","29.9870","6.3288","14356.2910"
"","30.0870","6.3504","14366.6924"
"","30.1870","6.3711","14365.0127"
"","30.2870","6.3927","14375.6074"
"","30.3870","6.4144","14368.6533"
"","30.4870","6.4348","14379.5967"
"","30.5870","6.4564","14378.3066"
"","30.6870","6.4768","14383.3730"
"","30.7870","6.4990","14390.7158"
"","30.8870","6.5196","14382.5918"
"","30.9870","6.5410","14398.3516"
"","31.0870","6.5617","14392.9482"
"","31.1870","6.5829","14403.8584"
"","31.2870","6.6049","14401.9512"
"","31.3870","6.6251","14405.6855"
"","31.4870","6.6469","14409.0205"
"","31.5870","6.6673","14410.9209"
"","31.6870","6.6893","14419.0596"
"","31.7870","6.7105","14411.9863"
"","31.8870","6.7314","14425.1738"
"","31.9870","6.7524","14421.8398"
"","32.0870","6.7733","14432.0830"
"","32.1870","6.7954","14430.8643"
"","32.2870","6.8156","14433.1123"
"","32.3870","6.8373","14437.1777"
"","32.4870","6.8576","14439.8330"
"","32.5870","6.8795","14447.7607"
"","32.6870","6.9009","14439.3740"
"","32.7870","6.9215","14453.5156"
"","32.8870","6.9430","14448.8262"
"","32.9870","6.9637","14457.7637"
"","33.0870","6.9859","14461.8496"
