Results Table 1
,Specimen label,Width,Thickness,Length,Tensile strain (Displacement) at Break (Standard),Maximum Tensile stress
,,(mm),(mm),(mm),(%),(MPa)
"1","Steel-1","12.73","4.06","68.81","44.14","239.24"
"2","Steel-2.1","12.73","3.05","71.09","14.16","311.81"
"3","Steel-2.2","11.76","2.84","76.71","13.13","370.91"
"4","Steel-2.3","10.85","2.72","84.89","11.50","420.57"

1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","63.5619"
"","0.1000","0.0042","92.7629"
"","0.2000","0.0177","124.3939"
"","0.3000","0.0477","170.1830"
"","0.4000","0.0679","207.0519"
"","0.5000","0.0886","256.6699"
"","0.6000","0.1107","327.9105"
"","0.7000","0.1311","451.1707"
"","0.7890","0.1500","704.2089"
"","0.8510","0.1634","957.0682"
"","0.9240","0.1783","1208.2526"
"","0.9910","0.1924","1462.2979"
"","1.0540","0.2064","1715.4930"
"","1.1230","0.2209","1968.8142"
"","1.1940","0.2354","2221.6687"
"","1.2600","0.2498","2473.1379"
"","1.3360","0.2657","2725.8577"
"","1.4120","0.2813","2976.2751"
"","1.4820","0.2968","3226.8972"
"","1.5590","0.3134","3478.4189"
"","1.6410","0.3301","3728.9951"
"","1.7160","0.3464","3980.5781"
"","1.8020","0.3642","4232.9844"
"","1.8850","0.3815","4485.3271"
"","1.9620","0.3987","4736.6167"
"","2.0540","0.4177","4987.6660"
"","2.1400","0.4357","5238.1733"
"","2.2290","0.4548","5488.5615"
"","2.3230","0.4741","5739.1489"
"","2.4100","0.4931","5989.9346"
"","2.5080","0.5140","6241.4067"
"","2.6050","0.5343","6491.8862"
"","2.7050","0.5553","6735.0039"
"","2.8050","0.5764","6979.5527"
"","2.9050","0.5984","7223.3970"
"","3.0050","0.6188","7425.1899"
"","3.1050","0.6405","7652.7275"
"","3.2050","0.6612","7836.9937"
"","3.3050","0.6827","8033.6943"
"","3.4050","0.7040","8190.4746"
"","3.5050","0.7246","8339.4375"
"","3.6050","0.7462","8471.4736"
"","3.7050","0.7667","8574.3652"
"","3.8050","0.7887","8681.8623"
"","3.9050","0.8092","8741.4053"
"","4.0050","0.8308","8825.6309"
"","4.1050","0.8516","8867.3525"
"","4.2050","0.8731","8929.8379"
"","4.3050","0.8949","8964.4971"
"","4.4050","0.9151","8991.2334"
"","4.5050","0.9370","9027.8809"
"","4.6050","0.9571","9043.3057"
"","4.7050","0.9794","9090.2207"
"","4.8050","1.0002","9088.6924"
"","4.9050","1.0211","9123.9219"
"","5.0050","1.0422","9135.4141"
"","5.1050","1.0632","9163.2334"
"","5.2050","1.0853","9184.7178"
"","5.3050","1.1055","9186.8799"
"","5.4050","1.1273","9217.0566"
"","5.5050","1.1479","9223.6992"
"","5.6050","1.1697","9254.4199"
"","5.7050","1.1909","9252.4502"
"","5.8050","1.2117","9278.5889"
"","5.9050","1.2330","9290.0762"
"","6.0050","1.2541","9308.5381"
"","6.1050","1.2758","9329.3350"
"","6.2050","1.2961","9327.1348"
"","6.3050","1.3178","9362.3799"
"","6.4050","1.3384","9360.1660"
"","6.5050","1.3600","9391.4268"
"","6.6050","1.3812","9390.5059"
"","6.7050","1.4019","9413.4639"
"","6.8050","1.4236","9427.0859"
"","6.9050","1.4442","9438.6738"
"","7.0050","1.4663","9468.2959"
"","7.1050","1.4869","9460.5605"
"","7.2050","1.5083","9494.4658"
"","7.3050","1.5292","9491.8574"
"","7.4050","1.5502","9518.7607"
"","7.5050","1.5720","9527.3330"
"","7.6050","1.5924","9537.2588"
"","7.7050","1.6141","9558.3994"
"","7.8050","1.6345","9566.8848"
"","7.9050","1.6566","9597.2236"
"","8.0050","1.6774","9587.5361"
"","8.1050","1.6987","9619.6582"
"","8.2050","1.7197","9618.8457"
"","8.3050","1.7405","9640.9600"
"","8.4050","1.7628","9658.3652"
"","8.5050","1.7830","9656.1631"
"","8.6050","1.8046","9683.9336"
"","8.7050","1.8252","9688.0527"
"","8.8050","1.8471","9717.0859"
"","8.9050","1.8682","9712.8086"
"","9.0050","1.8890","9738.3213"
"","9.1050","1.9101","9740.3457"
"","9.2050","1.9310","9758.7939"
"","9.3050","1.9533","9779.7705"
"","9.4050","1.9734","9769.9814"
"","9.5050","1.9951","9805.0020"
"","9.6050","2.0158","9803.7783"
"","9.7050","2.0375","9832.4883"
"","9.8050","2.0590","9833.5342"
"","9.9050","2.0791","9844.8857"
"","10.0050","2.1009","9861.2822"
"","10.1050","2.1214","9868.7578"
"","10.2050","2.1436","9894.1582"
"","10.3050","2.1636","9882.1533"
"","10.4050","2.1855","9922.5098"
"","10.5050","2.2063","9914.3916"
"","10.6050","2.2275","9941.2207"
"","10.7050","2.2495","9946.4521"
"","10.8050","2.2696","9953.0576"
"","10.9050","2.2916","9974.4502"
"","11.0050","2.3120","9974.8359"
"","11.1050","2.3340","10004.7285"
"","11.2050","2.3549","9996.8115"
"","11.3050","2.3761","10026.0137"
"","11.4050","2.3971","10023.7490"
"","11.5050","2.4180","10043.9883"
"","11.6050","2.4401","10057.6904"
"","11.7050","2.4602","10055.2070"
"","11.8050","2.4820","10078.7656"
"","11.9050","2.5024","10079.6689"
"","12.0050","2.5243","10108.7217"
"","12.1050","2.5456","10104.1787"
"","12.2050","2.5663","10125.2646"
"","12.3050","2.5876","10126.5244"
"","12.4050","2.6084","10145.1826"
"","12.5050","2.6306","10159.0820"
"","12.6050","2.6509","10157.2988"
"","12.7050","2.6725","10182.2656"
"","12.8050","2.6930","10179.0869"
"","12.9050","2.7146","10209.5801"
"","13.0050","2.7361","10202.8506"
"","13.1050","2.7563","10218.5342"
"","13.2050","2.7781","10227.5127"
"","13.3050","2.7986","10238.5732"
"","13.4050","2.8210","10261.5576"
"","13.5050","2.8415","10250.4678"
"","13.6050","2.8630","10281.9834"
"","13.7050","2.8836","10277.9297"
"","13.8050","2.9050","10301.3994"
"","13.9050","2.9269","10303.8564"
"","14.0050","2.9471","10308.8672"
"","14.1050","2.9688","10324.8057"
"","14.2050","2.9892","10327.7275"
"","14.3050","3.0114","10354.9863"
"","14.4050","3.0322","10345.5801"
"","14.5050","3.0533","10372.7920"
"","14.6050","3.0744","10369.3672"
"","14.7050","3.0952","10386.9004"
"","14.8050","3.1174","10401.9414"
"","14.9050","3.1376","10396.4189"
"","15.0050","3.1593","10416.7764"
"","15.1050","3.1798","10419.9971"
"","15.2050","3.2017","10443.7178"
"","15.3050","3.2229","10435.3945"
"","15.4050","3.2436","10457.4629"
"","15.5050","3.2649","10457.0615"
"","15.6050","3.2856","10475.2100"
"","15.7050","3.3080","10489.8604"
"","15.8050","3.3281","10479.0820"
"","15.9050","3.3497","10507.5098"
"","16.0050","3.3704","10503.2783"
"","16.1050","3.3921","10529.0566"
"","16.2050","3.4135","10524.4863"
"","16.3050","3.4339","10539.4697"
"","16.4050","3.4554","10547.5459"
"","16.5050","3.4760","10554.0771"
"","16.6050","3.4983","10575.4609"
"","16.7050","3.5188","10563.3750"
"","16.8050","3.5400","10593.2686"
"","16.9050","3.5613","10587.6855"
"","17.0050","3.5822","10606.3281"
"","17.1050","3.6042","10613.6748"
"","17.2050","3.6243","10614.7881"
"","17.3050","3.6462","10631.2773"
"","17.4050","3.6668","10633.9707"
"","17.5050","3.6885","10655.1943"
"","17.6050","3.7095","10646.0234"
"","17.7050","3.7306","10671.8750"
"","17.8050","3.7517","10665.9385"
"","17.9050","3.7726","10683.5762"
"","18.0050","3.7947","10693.2246"
"","18.1050","3.8149","10689.9668"
"","18.2050","3.8368","10713.3281"
"","18.3050","3.8571","10708.3936"
"","18.4050","3.8790","10735.2168"
