Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,HDPE-1,3.3,12.83,100,25.4,,,,,,,,
2,HDPE-5,3.3,12.83,83.44,127,,,,,,,,
3,HDPE-20,3.3,12.73,91.19,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,-0.0067,,,0,0,0.0039,,,0,0,0.0107
,0.1,0.0125,0.0042,,,0.059,0.0198,0.0252,,,0.042,0.022,0.0317
,0.173,0.036,0.0243,,,0.071,0.0392,0.0457,,,0.05,0.0472,0.0547
,0.212,0.0588,0.0445,,,0.082,0.0605,0.0674,,,0.055,0.0699,0.0748
,0.264,0.0846,0.0647,,,0.093,0.0822,0.089,,,0.06,0.0982,0.0991
,0.33,0.1118,0.0849,,,0.104,0.1032,0.1093,,,0.064,0.1245,0.1211
,0.395,0.1389,0.105,,,0.116,0.1254,0.1303,,,0.068,0.1534,0.145
,0.463,0.1674,0.1251,,,0.128,0.1479,0.1508,,,0.072,0.1846,0.17
,0.534,0.1983,0.1454,,,0.14,0.1717,0.1716,,,0.076,0.2172,0.1954
,0.611,0.2301,0.1655,,,0.152,0.1972,0.1933,,,0.08,0.2509,0.221
,0.69,0.2634,0.1857,,,0.163,0.222,0.214,,,0.084,0.2852,0.2463
,0.768,0.2973,0.2058,,,0.174,0.2477,0.2352,,,0.088,0.3196,0.271
,0.854,0.3331,0.226,,,0.185,0.2739,0.2562,,,0.092,0.3538,0.2952
,0.942,0.3699,0.2461,,,0.196,0.3,0.2764,,,0.096,0.3878,0.3185
,1.03,0.4076,0.2663,,,0.208,0.3279,0.2975,,,0.1,0.4212,0.341
,1.122,0.4465,0.2864,,,0.22,0.355,0.3176,,,0.104,0.4542,0.3626
,1.214,0.486,0.3066,,,0.233,0.3834,0.3382,,,0.108,0.4866,0.3835
