Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,LDPE-1,3.25,14.73,90.8,25.4,,,,,,,,
2,LDPE-5,3.25,14.73,87.88,127,,,,,,,,
3,LDPE-20,3.25,14.73,82.35,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,-0.0088,,,0,0,-0.0072,,,0,0,-0.0055
,0.1,0.0131,-0.0055,,,0.088,0.0712,0.013,,,0.054,0.0662,0.0158
,0.2,0.0519,0.0045,,,0.13,0.1507,0.0334,,,0.067,0.1476,0.0377
,0.3,0.0996,0.0158,,,0.17,0.237,0.0535,,,0.078,0.2349,0.0593
,0.4,0.1422,0.0251,,,0.212,0.3359,0.0738,,,0.089,0.328,0.0808
,0.5,0.1843,0.0336,,,0.264,0.4472,0.0941,,,0.101,0.4282,0.1021
,0.6,0.2268,0.0422,,,0.321,0.5659,0.1143,,,0.114,0.5328,0.1226
,0.7,0.2685,0.0495,,,0.381,0.6933,0.1343,,,0.129,0.6508,0.1439
,0.8,0.3106,0.0568,,,0.445,0.8289,0.1543,,,0.144,0.7713,0.1644
,0.9,0.3531,0.0636,,,0.513,0.9735,0.1744,,,0.159,0.8973,0.1845
,1,0.395,0.0703,,,0.585,1.1251,0.1945,,,0.175,1.0377,0.2056
,1.1,0.4381,0.0773,,,0.662,1.2882,0.2145,,,0.191,1.1813,0.226
,1.2,0.48,0.0835,,,0.746,1.4665,0.2346,,,0.208,1.3336,0.2461
,1.3,0.5229,0.0901,,,0.833,1.6502,0.2546,,,0.227,1.5003,0.2666
,1.4,0.5647,0.0959,,,0.928,1.8514,0.2747,,,0.248,1.6796,0.2867
,1.5,0.607,0.1017,,,1.028,2.0634,0.2939,,,0.271,1.8725,0.3067
,1.6,0.6492,0.1079,,,1.128,2.2746,0.3125,,,0.296,2.082,0.3275
,1.7,0.6914,0.1136,,,1.228,2.4861,0.3293,,,0.322,2.3015,0.3477
,1.8,0.7344,0.1193,,,1.328,2.6985,0.3449,,,0.35,2.5394,0.3681
,1.9,0.7761,0.1242,,,1.428,2.9096,0.3596,,,0.381,2.8027,0.3883
,2,0.8192,0.13,,,1.528,3.1209,0.3732,,,0.416,3.099,0.4088
,2.1,0.8611,0.1356,,,1.628,3.3336,0.3858,,,0.455,3.4288,0.4291
,2.2,0.9038,0.1403,,,1.728,3.5447,0.3972,,,0.498,3.7927,0.4493
,2.3,0.9458,0.1457,,,1.828,3.7561,0.4081,,,0.549,4.2246,0.4694
,2.4,0.988,0.1503,,,1.928,3.9683,0.418,,,0.61,4.7413,0.4895
,2.5,1.0305,0.1554,,,2.028,4.1798,0.4275,,,0.686,5.3845,0.5095
,2.6,1.0722,0.1599,,,2.128,4.3915,0.436,,,0.786,6.2313,0.5288
,2.7,1.1156,0.1648,,,2.228,4.6032,0.4439,,,0.886,7.0781,0.5424
,2.8,1.1572,0.1696,,,2.328,4.8144,0.451,,,0.986,7.9246,0.5513
,2.9,1.2003,0.1742,,,2.428,5.0266,0.4578,,,1.086,8.7711,0.557
,3,1.2417,0.1785,,,2.528,5.2382,0.4643,,,1.186,9.6182,0.5604
,3.1,1.2847,0.1832,,,2.628,5.4493,0.4698,,,1.286,10.4648,0.5619
,3.2,1.3269,0.1872,,,2.728,5.6613,0.4753,,,1.386,11.3112,0.5617
,3.3,1.3689,0.1916,,,2.828,5.8733,0.4802,,,1.486,12.1581,0.561
,3.4,1.4113,0.1957,,,2.928,6.0846,0.4846,,,1.586,13.0048,0.5594
,3.5,1.4535,0.2,,,3.028,6.2963,0.4889,,,1.686,13.8514,0.5567
,3.6,1.4965,0.2042,,,3.128,6.5081,0.4924,,,1.786,14.698,0.5543
,3.7,1.5385,0.2081,,,3.228,6.7201,0.4959,,,1.886,15.5445,0.5511
,3.8,1.5812,0.2121,,,3.328,6.9315,0.4993,,,1.986,16.3915,0.5483
,3.9,1.6232,0.2158,,,3.428,7.1428,0.5019,,,2.086,17.2381,0.545
,4,1.6653,0.2198,,,3.528,7.355,0.5044,,,2.186,18.0848,0.542
,4.1,1.7078,0.2238,,,3.628,7.5667,0.5068,,,2.286,18.9314,0.5386
,4.2,1.7495,0.2272,,,3.728,7.7776,0.5088,,,2.386,19.778,0.5355
,4.3,1.7926,0.231,,,3.828,7.9898,0.5109,,,2.486,20.625,0.5327
,4.4,1.8345,0.2343,,,3.928,8.2017,0.5127,,,2.586,21.4713,0.5297
,4.5,1.8777,0.2386,,,4.028,8.4127,0.5142,,,2.686,22.3179,0.5271
,4.6,1.9197,0.2417,,,4.128,8.6247,0.5155,,,2.786,23.1647,0.5244
,4.7,1.962,0.245,,,4.228,8.8365,0.5168,,,2.886,24.0113,0.5224
