Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,pc-1,3.1,12.75,93.95,25.4,,,,,,,,
2,pc-5,3.07,12.75,91.95,127,,,,,,,,
3,pc-20,3.07,12.7,89.1,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,0.0189,,,0,0,0.0192,,,0,0,0.0409
,0.1,0.0139,0.0317,,,0.06,0.0223,0.0395,,,0.042,0.022,0.062
,0.165,0.0343,0.0517,,,0.073,0.0445,0.0602,,,0.049,0.0432,0.0828
,0.201,0.0548,0.0721,,,0.084,0.0661,0.0807,,,0.054,0.0648,0.104
,0.24,0.0761,0.0925,,,0.095,0.0878,0.1012,,,0.058,0.086,0.1246
,0.288,0.097,0.1126,,,0.107,0.1104,0.1223,,,0.062,0.1105,0.1483
,0.342,0.1187,0.1329,,,0.119,0.1324,0.1425,,,0.066,0.1379,0.1745
,0.393,0.1402,0.1531,,,0.131,0.155,0.1631,,,0.069,0.16,0.1957
,0.444,0.1616,0.1735,,,0.143,0.179,0.1848,,,0.072,0.1831,0.2177
,0.493,0.1832,0.1937,,,0.154,0.2026,0.206,,,0.075,0.207,0.2405
,0.547,0.2056,0.214,,,0.165,0.2275,0.2279,,,0.078,0.2315,0.2638
,0.599,0.2275,0.2343,,,0.175,0.251,0.2486,,,0.081,0.2564,0.2873
,0.651,0.2491,0.2544,,,0.185,0.2748,0.2697,,,0.084,0.2816,0.3111
,0.703,0.2718,0.2748,,,0.195,0.2986,0.2908,,,0.087,0.3068,0.3348
,0.755,0.2941,0.2951,,,0.205,0.322,0.3113,,,0.09,0.332,0.3584
,0.809,0.3166,0.3155,,,0.216,0.3472,0.3331,,,0.093,0.3571,0.3817
,0.862,0.3387,0.3356,,,0.227,0.3718,0.3542,,,0.096,0.382,0.4048
,0.915,0.3612,0.3556,,,0.238,0.3957,0.3747,,,0.099,0.4067,0.4276
,0.968,0.3843,0.3759,,,0.249,0.4191,0.3949,,,0.102,0.4311,0.45
,1.023,0.407,0.3959,,,0.261,0.4443,0.4163,,,0.105,0.4554,0.4721
,1.077,0.4297,0.4162,,,0.273,0.4692,0.4373,,,0.108,0.4794,0.4939
,1.131,0.4523,0.4362,,,0.285,0.4941,0.4582,,,0.111,0.5033,0.5153
,1.184,0.4757,0.4563,,,0.297,0.519,0.4792,,,0.114,0.527,0.5365
,1.241,0.4993,0.4765,,,0.309,0.5441,0.4999,,,0.117,0.5507,0.5576
,1.297,0.5228,0.4966,,,0.321,0.5693,0.5205,,,0.12,0.5743,0.5784
,1.353,0.5463,0.5166,,,0.333,0.5946,0.5412,,,0.123,0.5979,0.5992
,1.41,0.5713,0.5369,,,0.345,0.6199,0.5619,,,0.126,0.6215,0.6198
,1.471,0.5967,0.5571,,,0.357,0.6454,0.5821,,,0.129,0.6452,0.6405
,1.53,0.6213,0.5774,,,0.37,0.673,0.6024,,,0.132,0.6691,0.6611
,1.589,0.6461,0.5976,,,0.384,0.7026,0.6237,,,0.135,0.6931,0.6818
,1.643,0.6701,0.6177,,,0.397,0.7302,0.6441,,,0.138,0.7173,0.7025
