Results Table 1,,,,,,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,,,,,,
1,PMMA-RT-.1,3.43,12.57,91.44,2.54,,,,,,,,,,,,,
2,PMMA-RT-1.0,3.28,12.45,91.01,25.4,,,,,,,,,,,,,
3,PMMA-50-.1,3.28,12.6,92.71,2.54,,,,,,,,,,,,,
4,PMMA-50-1.0,3.2,12.62,87.86,25.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force,,4,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,0.032,,,0,0,0.035,,,0,0,-0.2804,,,0,0,-0.2585
,0.1,0.0003,0.0321,,,0.091,0.012,0.055,,,0.1,0.0003,-0.2803,,,0.1,0.0138,-0.2453
,0.2,0.0017,0.0345,,,0.142,0.0251,0.0753,,,0.2,0.0012,-0.279,,,0.166,0.0353,-0.225
,0.3,0.0023,0.0346,,,0.17,0.038,0.0958,,,0.3,0.003,-0.2779,,,0.201,0.0566,-0.2044
,0.4,0.0105,0.0479,,,0.193,0.0514,0.1166,,,0.4,0.0124,-0.2684,,,0.242,0.0782,-0.1841
,0.5,0.0159,0.0551,,,0.217,0.0652,0.1373,,,0.5,0.0162,-0.2653,,,0.298,0.1009,-0.164
,0.6,0.0193,0.0599,,,0.245,0.0795,0.1578,,,0.6,0.0204,-0.2615,,,0.352,0.1229,-0.1436
,0.7,0.0244,0.0672,,,0.279,0.0938,0.1778,,,0.7,0.0246,-0.2578,,,0.401,0.1447,-0.1236
,0.8,0.0282,0.0722,,,0.315,0.1081,0.1979,,,0.8,0.0289,-0.2535,,,0.454,0.1672,-0.1035
,0.9,0.033,0.0791,,,0.349,0.1228,0.2181,,,0.9,0.0332,-0.2499,,,0.508,0.1895,-0.0832
,1,0.0365,0.0835,,,0.382,0.1372,0.2382,,,1,0.0377,-0.2457,,,0.562,0.2118,-0.0629
,1.1,0.0416,0.0909,,,0.418,0.1522,0.2584,,,1.1,0.0419,-0.2422,,,0.615,0.235,-0.0426
,1.2,0.0451,0.0954,,,0.454,0.1674,0.2786,,,1.2,0.0459,-0.2384,,,0.666,0.2569,-0.0223
,1.3,0.05,0.1022,,,0.489,0.1822,0.2987,,,1.3,0.0504,-0.2346,,,0.723,0.2805,-0.002
,1.4,0.0533,0.1064,,,0.526,0.1975,0.3187,,,1.4,0.0544,-0.2313,,,0.779,0.3037,0.0183
,1.5,0.0584,0.1134,,,0.562,0.2128,0.339,,,1.5,0.0589,-0.2268,,,0.832,0.3266,0.0386
,1.6,0.0618,0.1174,,,0.597,0.2281,0.3593,,,1.6,0.0628,-0.223,,,0.884,0.3493,0.0587
,1.7,0.0668,0.1239,,,0.635,0.2439,0.3798,,,1.7,0.0673,-0.2194,,,0.943,0.3736,0.079
,1.8,0.0703,0.1281,,,0.674,0.2601,0.4002,,,1.8,0.071,-0.2163,,,0.998,0.3967,0.0992
,1.9,0.0755,0.1352,,,0.711,0.2758,0.4205,,,1.9,0.0757,-0.2119,,,1.053,0.42,0.1194
,2,0.079,0.1392,,,0.751,0.2923,0.4408,,,2,0.0794,-0.2085,,,1.107,0.4435,0.1395
,2.1,0.0837,0.1455,,,0.789,0.3085,0.4611,,,2.1,0.0845,-0.2044,,,1.167,0.4683,0.1598
,2.2,0.0873,0.1497,,,0.827,0.3252,0.4817,,,2.2,0.0882,-0.2011,,,1.225,0.4926,0.1798
,2.3,0.0922,0.1562,,,0.868,0.3424,0.5019,,,2.3,0.0928,-0.1967,,,1.282,0.5166,0.2
,2.4,0.0957,0.1604,,,0.909,0.3595,0.5221,,,2.4,0.0964,-0.1937,,,1.336,0.5402,0.2202
,2.5,0.1005,0.1664,,,0.949,0.3763,0.5424,,,2.5,0.1013,-0.189,,,1.396,0.5651,0.2402
,2.6,0.1042,0.1709,,,0.99,0.3932,0.5626,,,2.6,0.1049,-0.1861,,,1.458,0.5912,0.2606
,2.7,0.1088,0.1768,,,1.029,0.4102,0.5829,,,2.7,0.1098,-0.1815,,,1.517,0.6164,0.2808
,2.8,0.1127,0.1815,,,1.067,0.4269,0.6033,,,2.8,0.1132,-0.1783,,,1.574,0.6411,0.3011
,2.9,0.1172,0.1874,,,1.108,0.4439,0.6237,,,2.9,0.1182,-0.1742,,,1.636,0.6671,0.3213
,3,0.1214,0.1924,,,1.149,0.4612,0.6441,,,3,0.1217,-0.1713,,,1.699,0.6935,0.3415
,3.1,0.126,0.1985,,,1.19,0.4784,0.6643,,,3.1,0.1266,-0.1666,,,1.76,0.7197,0.3616
,3.2,0.1299,0.2034,,,1.231,0.4953,0.6845,,,3.2,0.1304,-0.1634,,,1.824,0.7465,0.3818
,3.3,0.1343,0.2088,,,1.27,0.5124,0.7049,,,3.3,0.1353,-0.1593,,,1.884,0.7718,0.4019
,3.4,0.1386,0.2143,,,1.31,0.5296,0.7249,,,3.4,0.1389,-0.1557,,,1.949,0.7988,0.4221
,3.5,0.1428,0.2196,,,1.352,0.547,0.7452,,,3.5,0.1436,-0.1516,,,2.01,0.8256,0.4424
,3.6,0.1469,0.2248,,,1.392,0.5639,0.7653,,,3.6,0.1474,-0.1486,,,2.076,0.8531,0.4624
,3.7,0.151,0.2297,,,1.435,0.5817,0.7855,,,3.7,0.1522,-0.1439,,,2.14,0.88,0.4825
,3.8,0.1552,0.2343,,,1.476,0.5991,0.8059,,,3.8,0.156,-0.1408,,,2.202,0.9063,0.5027
,3.9,0.1594,0.2396,,,1.515,0.6162,0.8259,,,3.9,0.1604,-0.1368,,,2.268,0.9349,0.5228
,4,0.1636,0.2447,,,1.557,0.6338,0.8461,,,4,0.1642,-0.1338,,,2.331,0.9613,0.5429
,4.1,0.168,0.25,,,1.599,0.6514,0.8662,,,4.1,0.1687,-0.1295,,,2.401,0.9904,0.5632
,4.2,0.1725,0.2553,,,1.642,0.6695,0.8865,,,4.2,0.1727,-0.1256,,,2.465,1.0184,0.5835
,4.3,0.1766,0.2602,,,1.684,0.6871,0.9067,,,4.3,0.1773,-0.1224,,,2.535,1.0475,0.6037
,4.4,0.1806,0.2645,,,1.724,0.7047,0.9269,,,4.4,0.1815,-0.1183,,,2.605,1.0766,0.6238
,4.5,0.1852,0.2702,,,1.766,0.7228,0.9472,,,4.5,0.1858,-0.1145,,,2.671,1.1049,0.6441
